 # MagPy ASCII
Time,"File",Bi-214_609[KeV],Bi-214_1120[KeV],Bi-214_1764[KeV],Pb-214_295[KeV],Pb-214_352[KeV]
2015-10-09 18:00:00,Spectral_401226.Chn,58595.9625613,209130.041392,70346.4800275,166550.17045,249043.744657
2015-10-09 19:00:00,Spectral_401227.Chn,58393.8120383,210392.997115,69645.4233024,167803.95448,254709.746814
2015-10-09 20:00:00,Spectral_401228.Chn,58321.6400291,208073.096188,71547.3777438,167984.291607,252200.13759
2015-10-09 21:00:00,Spectral_401229.Chn,58559.7388236,214452.836991,70378.9680618,171456.904565,251874.515322
2015-10-09 22:00:00,Spectral_401230.Chn,59523.6118485,212755.124844,70738.5657895,173929.399829,248106.036548
2015-10-09 23:00:00,Spectral_401231.Chn,59173.9992624,212766.409628,70023.6312774,173032.060506,250995.930386
2015-10-10 00:00:00,Spectral_401232.Chn,58260.6305378,213860.17706,69873.1111184,170468.61748,239718.340817
2015-10-10 01:00:00,Spectral_401233.Chn,58646.2981009,214030.058694,70281.7923948,176134.400249,252502.907434
2015-10-10 02:00:00,Spectral_401234.Chn,59294.0497413,210159.305729,70338.8317196,162260.16247,243393.251734
2015-10-10 03:00:00,Spectral_401235.Chn,59804.6042322,210655.092991,70634.718557,169355.126765,240170.423124
2015-10-10 04:00:00,Spectral_401236.Chn,58875.3220226,210201.881728,70344.8877878,167314.354349,258224.760322
2015-10-10 05:00:00,Spectral_401237.Chn,58618.6581411,213417.688341,70751.0232606,169357.114857,245025.366206
2015-10-10 06:00:00,Spectral_401238.Chn,59487.9179151,213080.940603,71236.410815,165218.538094,261335.224795
2015-10-10 07:00:00,Spectral_401239.Chn,58721.1225924,215518.389346,71356.1739032,174434.354577,253919.16447
2015-10-10 08:00:00,Spectral_401240.Chn,58855.4058143,213476.032901,71056.8366277,165788.534673,257093.071293
2015-10-10 09:00:00,Spectral_401241.Chn,57270.6133796,209124.500607,70683.7701745,165650.419457,241390.901681
2015-10-10 10:00:00,Spectral_401242.Chn,58594.4639135,210981.642416,70450.2047982,168568.858064,246930.002562
2015-10-10 11:00:00,Spectral_401243.Chn,57784.116172,214295.942223,69686.8039894,176622.638863,250930.251403
2015-10-10 12:00:00,Spectral_401244.Chn,58567.8880324,210730.14803,69624.7748067,167312.009702,258083.199133
2015-10-10 13:00:00,Spectral_401245.Chn,58738.2846858,211918.154226,71500.7825425,171591.713375,255868.968939
2015-10-10 14:00:00,Spectral_401246.Chn,58116.6582943,212738.011124,70955.5660143,153990.380343,245794.174604
2015-10-10 15:00:00,Spectral_401247.Chn,59795.0132946,213075.565524,69500.5594947,169918.655029,253219.461116
2015-10-10 16:00:00,Spectral_401248.Chn,57791.4360596,210591.240279,69470.199786,172093.392217,257737.368902
