 # MagPy ASCII
Time,"File",CountsBa[],CountsCs[],CountsBi1120[],CountsBi1764[],CountsAll[],CountsMCA(Bi1764)[],CountsSCA(Ch291)[],ChannelShift(Max_near_291)[]
2015-10-08 21:00:00,Spectral_401205.Chn,885443.654826,200917.075243,453.292330875,683.591609797,3014.22,57.9768918138,65.9344262295,1.04832713755
2015-10-08 22:00:00,Spectral_401206.Chn,884392.488726,200786.939237,463.008263016,688.218923777,3173.19444444,57.3896982148,46.5,1.14498141264
2015-10-08 23:00:00,Spectral_401207.Chn,885795.49018,201431.038392,560.009068806,577.07992967,3480.5,48.629443137,50.2641509434,0.951672862454
2015-10-09 00:00:00,Spectral_401208.Chn,882764.275077,200794.585992,471.17300137,674.914757607,3052.86320755,54.8945827298,49.7580645161,0.527881040892
2015-10-09 01:00:00,Spectral_401209.Chn,886546.391879,201783.480439,371.821758461,688.221452169,3143.42424242,58.2904868089,52.5,0.661710037175
2015-10-09 02:00:00,Spectral_401210.Chn,884765.260383,200155.575584,389.815351972,692.309706727,3583.43306288,57.555030806,51.8387096774,1.49814126394
2015-10-09 03:00:00,Spectral_401211.Chn,884015.498571,200424.596484,314.063256558,578.61145322,2848.76190476,46.8374043209,54.7543859649,-0.0780669144982
2015-10-09 04:00:00,Spectral_401212.Chn,885313.891448,200080.549579,361.819326209,657.043370977,3124.09000763,54.4283657884,69.3230769231,0.0185873605948
2015-10-09 05:00:00,Spectral_401213.Chn,887066.630865,201201.360792,403.742949357,689.240137105,2908.54093567,58.3453752436,56.2456140351,0.565055762082
2015-10-09 06:00:00,Spectral_401214.Chn,885781.80592,200831.363643,419.374946395,637.482569683,2614.33731618,52.5448498614,48.7358490566,-0.275092936803
